channel_title,video_count,channel_ids,channel_countries,is_news,review_status,suggested_news,notes
Craft with Magical Art,2,UCbFp2Xx4jZwbrsD5Mzt19dg,US,,needs_review,,
Crazy_Build,2,UChEyye9FAv7Z-bFrVuBEvvg,US,,needs_review,,
Creepy Tales,2,UCZRNSGyOGo-rWZuYOTs_rNw; UCmS2U-yFKQNxCbTk6hG9sAw,,,needs_review,,
crimenightly,2,UC6lSeXu5tdRxE2JAnE2rjwQ,,,needs_review,,
Cristian Presură – Physics Through Stories,2,UCUsR7k3Zlvt_KVhnEYm7xGg,US,,needs_review,,
CRL-AI,2,UCte2ER-wa5Z2a81U4studYw,,,needs_review,,
CrossBorder Conflict,2,UCN1_3v9NnWYOEgN6pF8fWUQ,,,needs_review,,
Crown Of Blood Official,2,UCA4FeGS4Z044qtqifBNljXg,IN,,needs_review,,
Cruela Deville,2,UCLhWX-3dJNI7lH7KS2r4l2g,,,needs_review,,
Cruise Specialists,2,UChfznYaskMEM9wjlkpggPNw,US,,needs_review,,
Cruise Traveller,2,UCfR2Ekq1uR38SzRylvy97vQ,AU,,needs_review,,
CruiseReport,2,UCvTxRIyo8WJUxsq1Jyhjz1g,US,,needs_review,yes,
Cruisin With Mark,2,UC17VktwtNXigFzMGYPr0Uwg,,,needs_review,,
Crux Investor,2,UCc0h6rwJD4vr_Rtdasuyn-w,GB,,needs_review,,
CSUF - College of Humanities and Social Sciences,2,UCkkH1IHDXQGqMravEx9MchA,,,needs_review,,
CtlCtn,2,UCQ6HZ2q0uhQ_jTbzPZAi5HQ,US,,needs_review,,
CTV Your Morning,2,UCyI4gi0BtlKiUl6KgtuVIUw,CA,,needs_review,yes,
Cucu Tumunda 007,2,UCQh8PZuWQ1fAvcMLhXB3FwQ,MY,,needs_review,,
Culture Quest,2,UCrVkuYV1yQ71HUOUYqg7Fzw,TR,,needs_review,,
Curios Hub,2,UCVljbaJ9d9QLmb6jMNLnWUQ,PK,,needs_review,,
Curiosity,2,UCnTQlq1w8q-wpNvBTA0lAag,US,,needs_review,,
Curiosity Stream,2,UCS2-ooh5VjExi5LlnxYmAew; UCd7zlpSjvUuUwsQdqV3LF3w,DZ; US,,needs_review,,
CURIOSITY TRAVEL,2,UCeTD23KzDgnkwqMCJOwhc0Q,,,needs_review,,
Curious Capsule,2,UCg5MTXxCoHSuI0u3GCmuF_w,US,,needs_review,,
Curious Minds,2,UC6THC94MmpIxXeYPUKFQ52Q; UCdMMpaH4gb_27jbbYUUA21w,,,needs_review,,
Current Affairs,2,UClxHDiCJ-tnwP216bdVvlPw; UCmUvAvT891cS0CYmSaRhMmA,IN,,needs_review,,
Current Affairs Today,2,UC0rWimza6wiYRIeDK-17rgA,IN,,needs_review,yes,
Cute Jessy Vlogs,2,UCnMO1ca50mrr5UIMwS-CRzQ,IN,,needs_review,,
CuteAnimal_JC,2,UCnKiwVQrLa7OKGF86u5swkg,TH,,needs_review,,
Cynthia Pitsiulak,2,UCA0s3MvhWLpyrGbSS4WfjGg,,,needs_review,,
Daily World News 26,2,UCkr9RxTFPT5XKPjAR5rcOeA,,,needs_review,yes,
DailyNews,2,UC0NUzRUoAGNNWR01BkbrihA,,,needs_review,yes,
Dakotaball,2,UCpapHKnnH_XYZULJ45wWYzw,,,needs_review,,
Dan Cloutier,2,UCTfFaHvsGiZ4uvQC9l4vLTg,,,needs_review,,
Dang You Zesty,2,UCIEZb_p1apCAgrWl84aBtYw,US,,needs_review,,
Daniel,2,UC1pu-7nWpeANj8OgDz5wa1w; UCUTetYFMXYVQlNEAIUoIC-g,DE,,needs_review,,
danielY0UTUBE,2,UCk7gvGvJx1mww_duqat3wkA,NL,,needs_review,,
Danishdoesherthing (DanishDoesHerThing),2,UCJ6rHiAdWRpWy9eStExvstA,DK,,needs_review,,
Danyunsik,2,UCHY0OJoyHPUrm_-NpSU5nYg,UA,,needs_review,,
Darius Mora | ASO AppSuccess,2,UCfaxmVZDN-hqV6HfMbcCOwA,PT,,needs_review,,
DarkFiles,2,UCRNZI98M0Rps0jLHUB45PBQ,US,,needs_review,,
Data Duck,2,UCXM7k9e_wxy7ZDuXSwmqedw,,,needs_review,,
Data Duck 2.o,2,UCuhkkjwiFNmSoWsGajC3AVA,,,needs_review,,
Data Orbit,2,UCdZdXwonDoG3jge8u0P0rkw,US,,needs_review,,
daulatbaba,2,UCbjP9kbtYrTg7ymGbrN5l0Q,,,needs_review,,
Dave in Osaka: Travel Japan,2,UCiQD4ejZi6cq7DSw1ThDnqA,JP,,needs_review,,
David & History for the Ages.,2,UCowkuJYFNs5G56CrtTwZDNA,US,,needs_review,,
David Dukes,2,UCnszz1FxN1lR4fOYggOuJww,,,needs_review,,
David Feldman,2,UCPx_etxYtUYRyrdOszrDA0g,US,,needs_review,,
David FLYING smart,2,UC1J4RidEz2-yUACs3YXZ3Sg,GB,,needs_review,,
David Jame1,2,UC8llMbxAy5QW1TC4jaL0oYQ,,,needs_review,,
DayAndNightToday,2,UChHp12Xe3oIfNPxCE9wnSRQ,US,,needs_review,yes,
DayDream,2,UCoNVuDnIQlZ4czP3xtyIgbg,MY,,needs_review,,
DeCode Docs,2,UCNMlZt5BAYqeztQ81rGS3vg,,,needs_review,,
Decoding Geopolitics Podcast with Dominik Presl,2,UCtYQaZPOCMtrijLRYFnAtEw,GB,,needs_review,,
DeepLens,2,UC7ofk4C9uXF8cYEZUWeP5ug,,,needs_review,,
DeFranco News Clips,2,UCpLB7kBu9O5dbBKhaIOmqcQ,US,,needs_review,yes,
DeliverQuick,2,UCV6DgJKj9zxM7TrmBjHfkzQ,,,needs_review,,
Democracy Watch,2,UCw6MzR_Q-sIZ6XX5SHNc4Yw,US,,needs_review,,
Demz Amban,2,UClTfh4_y33MQJCn4GfoSvhA,,,needs_review,,
Denan BNogak,2,UCPQuM3dK10eR2OCwl_PD5fQ,,,needs_review,,
Desh Duniya,2,UCh1d1w50yN4tsV39aqXrb8w,,,needs_review,,
Desi in Amrika Raju Shrestha,2,UC3h33r4RbTcCW5AS1NQLVlg,US,,needs_review,,
Desi in Europe,2,UCrFszL_OKQPiNLfwfCuTbvw,SA,,needs_review,,
Destination Micro Meditation,2,UCfTsj9021rf_7qTjrVQPn1A,US,,needs_review,,
Destiny,2,UC554eY5jNUfDq3yDOJYirOQ; UCIFtADcWrOApqrsinzPoOfA,US,,needs_review,,
Diana Yapo,2,UCMFXRnYjaBC4LANGsRRvm7g,,,needs_review,,
Did You Know,2,UCj6r7f1yQzFh2W52ernt4wQ; UCpcvwnXuEgHztuKMCnki-zA,ID,,needs_review,,
Didyouknow?,2,UCh2eV9pKoVwFlWWWEY2fBPA,,,needs_review,,
DieterAviation,2,UCkPjaY8W0DrE1lYJKghnCDQ,BE,,needs_review,,
DimmsdaleActionNews,2,UCNqbahiX02ajYVf_pHDpH4Q,CA,,needs_review,yes,
Dinesh_Ajnare_,2,UCeh4a4EI7WRr_oDfkS25u3Q,AR,,needs_review,,
Ding News,2,UCB1QtlOKfmpGhxq8sOe0LkA,,,needs_review,yes,
DiplomaticRelation,2,UCX_SyLn6mInaTG-jk8J34zA,IN,,needs_review,,
Disaster Front,2,UCFIvPgtbtellJMb_gQ5OdqA,US,,needs_review,,
Disaster Space,2,UCPDBcYI8f8yAZowosrWX89w,,,needs_review,,
Discover The World,2,UCEAP2rv7MhP8DcL5YlGGgjw,DE,,needs_review,yes,
Discover World,2,UCUFub8j6qZ-SMabdsiKBp5A,,,needs_review,yes,
Dissident Zoomer,2,UCVQ5FOuvV_3IkDRqGntM1lA,,,needs_review,,
DJGENESISDETROIT!,2,UCPPB8xe5f6kI0KduBcjlq8A,US,,needs_review,,
DNN,2,UCUqNIZp0A3gmf1qKrlAua5Q; UCrZeCSbjOuMW5ivLa6T60CA,,,needs_review,,
Do You Know Us,2,UCXtRy80ISLNo4iYULLPdNng,US,,needs_review,,
Do You Know Why Facts,2,UCAFIlaMn_zUf07oVEQE-rbQ,,,needs_review,,
DO7OK,2,UCN-A6CSjzX-iPTSx4lG5MWA,,,needs_review,,
Don'tSubscribe,2,UC_7K5gOJJ3urQR53ltIck8w,GB,,needs_review,,
Donald Mudge,2,UCD0cO8Hyizt7ntwbg3WA6zw,,,needs_review,,
Donspertvchannel,2,UCgnDUeVTmA82EgOVr3H2HIA,HR,,needs_review,yes,
Doomscroll FM,2,UCCz-aJpPpWIjly9O7po9oMw,DE,,needs_review,,
Dorte Zeeb D Z,2,UC6u4HLUWZcT03FBDAfs1xKA,,,needs_review,,
Double Toasted Bites,2,UCfPbsFe1Y3U9LFYNUUG00AA,US,,needs_review,,
Down To Earth,2,UCIB_MLJZL0T_s5OUuqhmbVA,IN,,needs_review,,
DP,2,UC5I8au1fuh2e400W6B5wj7Q,,,needs_review,,
Dr Gilbz,2,UCjaBxCyjLpIRyKOd8uw_S4w,GB,,needs_review,,
Dr Reacts,2,UCQEPbQrFtygpR4r9WCizEyw,IN,,needs_review,,
Dr. Adam Norten,2,UCNuOvghpSGAEAKwWfTLVGQA,US,,needs_review,,
Dr. Conservative Lens,2,UCzBNEXBPNCvEg6y8wevmwqw,US,,needs_review,,
Dr. Know,2,UC21vZWuKy0FunAdTZYURvhw,DE,,needs_review,,
Dr.Gabriella Korosi Creator of Communities and DEP,2,UCigEzzLFCOFEFX1dGfBpBKw,US,,needs_review,,
Dream Trips,2,UCeGK_u5OCh-25u4GkKlGe-g; UCetYFjkhf7S7LwiuJxeC28g,IN; PK,,needs_review,,
DRIP MUSIC X,2,UCJAtPmoLI7t4cfw1lvI0VQw,,,needs_review,,
Drone Stooges,2,UC18rl7bTz7GKlf2uq95FBoA,,,needs_review,,
DuniyaTrip,2,UCqrcWAGFUgUfo7z3Tr9quSw,IN,,needs_review,,
DurhamUniversity,2,UCmY_l-JTJH-ztouzuc9pDMg,GB,,needs_review,,
DW Documentary,2,UCW39zufHfsuGgpLviKh297Q,DE,,needs_review,,
Dylan2811,2,UCQsNQ4Tvn6HAxier0Vz1Bhg,,,needs_review,,
E Ater,2,UC8MK7KB_7TNXtOWnwYYS9Mw,,,needs_review,,
E3coach,2,UCCPjOk5Ge7td3UW2ZCMNPMQ,GB,,needs_review,,
EARTH,2,UC5rm17WQ9xnfyASWDzNCqJQ,,,needs_review,,
Earth Adventure,2,UC0VZe5vKiBR_fECTq1iB3yg,IN,,needs_review,,
Earth Infinity 8K,2,UC_3QmCTkBtjNTxaFH55w2xQ,US,,needs_review,,
Earth Percpective,2,UCTOWNS8ha9Vruplsj_nIQiA,US,,needs_review,,
Earthwide Tales,2,UC9avJJ880ZWV2MMAaMWovxQ,,,needs_review,,
Echoes of America,2,UCxHRLDcFb6Dsa0yIH0sHEZg,ES,,needs_review,,
Echoes of Conflict,2,UCdBQxfHLx-RfsGEfr62DshA,,,needs_review,,
Eclipse2024.org's Eclipse Simulator,2,UCeh8wjSZoPajyNbcG5NzBQA,US,,needs_review,,
Edgar Muenala,2,UCChu3dVmU8FAgdtcAtDKxDQ,CA,,needs_review,,
Edith Guobadia,2,UCikQ7emPKjhALWQxOcQHGXg,US,,needs_review,,
EduWonders,2,UCuywV94m-4p-75z78QZ7RTw,IN,,needs_review,,
ELEVI,2,UC1xTWBdhtNSv5-5vLN4y3uQ,,,needs_review,,
Elvira Bary,2,UC2nNqeoUOsCFo1HPITbq8VA,US,,needs_review,,
Emir Maps,2,UCYDSmAvMLXl6IpicffA2DXw,TR,,needs_review,,
ENGIN HINCER,2,UCxl_mDvMpmc5JNSiy-iQLdA,,,needs_review,,
Enigma of Horizon,2,UCU1qT1fGbcKQ_dvX5iTaVEA,TH,,needs_review,,
EnigmaticHistoryChannel,2,UCoiV2Zl6zjD9Ltv4ARwB5Aw,,,needs_review,,
enjoy.explore.travel,2,UCubYRhMG1LnEjbLdz5tm8qA,EE,,needs_review,,
ENN Global News,2,UCKRMtWwM4SY0fmHyPX3h2ew,BD,,needs_review,yes,
Entertainment Short,2,UCGn27sXpxhIj2N38KeIzOAg,IN,,needs_review,,
EntertainmentNow2,2,UC-o9W25Kj-Dgc1ehGrPCX6A,,,needs_review,,
Epic Frontiers,2,UCpzzeJVXPKlEU4_ZVVZBjGw,US,,needs_review,,
Epic Unseen World,2,UCJ3buKnRRicvU6rdGQHIGzA,US,,needs_review,yes,
ERIAGISAQ,2,UC2ES-VggljsV6aFK1zDtcxA,,,needs_review,,
Erick Cummings,2,UCMLwmChJ8E9uro2AUI2ED7Q,US,,needs_review,,
Erik Van Conover,2,UCu8ucb1LRJd1gwwXutYDgTg,US,,needs_review,,
escape planners,2,UCL0ad6woFIZUbEx4SYj1mWA,,,needs_review,,
Esoteric News,2,UCPBWioQrVksroVOLZPwqnBw,,,needs_review,yes,
Eta Carinae A,2,UCCOim8t3vYaeW-fuZG-pnBg,JP,,needs_review,,
Ethnos360 Norge,2,UC-a_gILa-vVckDOsm_kaBPA,NO,,needs_review,,
European Parliament,2,UCvU4p_w08osQsrNi_I4ZtDA,,,needs_review,,
Europeanball (T.A.T.O),2,UCIpUD6OJB2pUkTD_l-zrR8g,BG,,needs_review,,
EuroScope,2,UCklYBIRRvaSBejZoODV8UpQ,,,needs_review,,
Everyday Curiosity,2,UCGGod88iiebMA9BmjM-Q3gQ,US,,needs_review,,
Everyday English Stories,2,UC6aou1WQwEiKtCjG1fcDUhw,US,,needs_review,,
Everything Burns Review,2,UCpIb_E0RbL9Xia49qPsHdMg,,,needs_review,,
Everything Trump said Today,2,UCrRSMSrbLQYj64ZNC0qqwdQ,US,,needs_review,yes,
Ex Cat,2,UC9B1Rj5zNPD3DswMMGO9XPA,US,,needs_review,,
Ex_calibur_1,2,UC_CwWIaOVEyn9miQpbOQehg,,,needs_review,,
Exam Idea,2,UC9fVTRHrshl0ngmg-WEUjXw,IN,,needs_review,,
ExO_TiQ_SoJourns,2,UCBL-ENITrY6iGDV_Nn3cK-w,,,needs_review,,
Expedition Engineering,2,UCVMQRnzDyfPGTUFwoddMCZA,,,needs_review,,
Expense Tv,2,UCsT-w6Q2Zkfh6CB1vfxl5tw,PK,,needs_review,yes,
Explora Journeys,2,UC8TFn2-oTxTBIMK83hlaFcA,CH,,needs_review,,
Explore Destination Reactions,2,UCtOFkNmA6V8mi4izJpMqdtg,ID,,needs_review,,
Explore Geography,2,UCorFt5eW3DMoM9RWkb3KKmw,AZ,,needs_review,,
Explore Papua  Official,2,UCPTQy81H_teR9wuRCBcTUAQ,ID,,needs_review,,
Explore The ROAD - Douglas Parker,2,UC3h_axC-iD8KPPtI9KeB1Sw,GB,,needs_review,,
Explore world,2,UC5nrBkc0_iIZOR06JwIXTpA; UCw9WxTKz608hHseu1jdGAHw,,,needs_review,yes,
Explore World,2,UC286hAMHW7_f8ufWDGBNJRg; UC7WoygTt-KWSgGDg5Et9Ouw,IN,,needs_review,yes,
Extreme Climate Survival,2,UCTIKQTI_k7r7YvoKfU7fbGg,NG,,needs_review,,
Extreme Storm Chaser Jordan Carruthers,2,UCOApnzFU-DG9op88QY5Wu5g,CA,,needs_review,,
EzeeWay,2,UCu2PyQVoebXVnj6Z2MADEYQ,PK,,needs_review,,
fab. io,2,UC7_bG8HjRvCsHEzIwJLmoKg,DE,,needs_review,,
Face the Nation,2,UC2x_qNZXKDxNP1j4jvHATRQ,US,,needs_review,,
Facing Future,2,UCXjXjzC8qcEg8-659UbAgKQ,US,,needs_review,,
fact,2,UCJyjC2h8xVZOAtWDJ1UhupA; UCL-kLU9fQBEf__JJB_Jr5yA,US,,needs_review,,
Fact Fetti,2,UC4Klc6G3haiRVGl5uES4X6g,,,needs_review,,
Fact Finder,2,UCMWOC8OjKtDwBBcxAG6l6IA; UCRi2qK_Png062UkiBSE-v0g,IN; PK,,needs_review,,
Fact Finders,2,UC10kt5coz6vFySV5Sh8yiDg,IN,,needs_review,,
Fact Spinners,2,UC1OeA45JnyVVgECf7pfIUyQ,US,,needs_review,,
Factastic,2,UCb_LLiu6xaVh7cxccmdz4Sg; UCroAKhtXKZbsY0rTGncs2EA,IN,,needs_review,,
FactBlastHub,2,UCdEOSzSMIj29RQv4JbQ188g,GB,,needs_review,,
Factehonation,2,UCozT2S5DB_wB9uffNyxDmMg,US,,needs_review,,
FactFile,2,UCQYqZHRVVWo_CFk2xryfzkg,US,,needs_review,,
FACTgenics,2,UCmRFwGkiPit7Pw-VTt9WdMw,IN,,needs_review,,
FactLine Hub,2,UCtWvX1ekaTf_PYfhwP8UGeA,US,,needs_review,,
Factmellow,2,UCqKXNM5wTf2xtr6-PjAVdOQ,,,needs_review,,
FACTOLOGY,2,UCYW_EV-CVlXtIfH_gjGCRrg; UCswtArzL0eN0-T-sOels4Iw,PK,,needs_review,,
Factonaught,2,UCmhU4kNxnRuYoth5FILHxcg,,,needs_review,,
FactOrbit,2,UCvCuCF2i5kOVeeEKCqGByEw,,,needs_review,,
Facts,2,UCaA3k0Ns-G1rjsnYLTfU5-Q; UCmsopu1F77yZliNsF7-DFMA,PK,,needs_review,,
facts,2,UCLG1stt_POCp_0B_7wlvRlw; UCxujZypJppV6xwEqW-jCkfQ,IN,,needs_review,,
Facts From Our History,2,UCPj2oHG5FRA9Bc5cR49sdGA,CA,,needs_review,,
Facts Xplain,2,UCz7PBP0EDG5qjhiDtIcvf8A,IN,,needs_review,,
Facts. Unique. Scientific,2,UCFBQpB8il2OPaPXfCSkLvgw,,,needs_review,,
Factside,2,UCfhmFoWCZHmJlFGvq3iDX9g,US,,needs_review,,
FactSphere,2,UCghokmwPOlTWL1nCn66HlKw; UCtBa9SKkbarxzKxMd1yeKpg,IN,,needs_review,,
FactsVerseIndia,2,UCSLgeJkMNcexhsbZLksLo1g,IN,,needs_review,,
Factsy,2,UC1oNmgC4qS6_3oqB5UduQkw; UCUrbxgJ6t4wogeyFvUVdvvQ,IN; US,,needs_review,,
FADAH,2,UCB6_NM3Adpe0SC7c0f0hDaw,,,needs_review,,
Farid Ullah And Brother's Arms,2,UCO8SKyXS3CSulpKQR4fyzFw,PK,,needs_review,,
Faris AlHussainan,2,UC5i1AV7HBsyqLXFgyIL2TAw,,,needs_review,,
Faroe Islands Volleyball Mens Team,2,UC4YNZe2wt7YCnib1qsuxoKA,FO,,needs_review,,
farside2047,2,UCj_YxHLtgC4hFWne_tHkgcw,US,,needs_review,,
Farzan Films,2,UCwqFGHLDXKSZmI63yCKnVFg,GB,,needs_review,,
Fascinating Facts From Robin,2,UCk9RrFpCr-5SMjDk5IU6Afg,IN,,needs_review,,
Fastepo,2,UCwUsX9NXZ6SS_XwZsUqRhRQ,GB,,needs_review,,
Felicity Arvizu,2,UC_H8rt3ewkNEMqJJwklKLVA,,,needs_review,,
Felyoc,2,UChTVBkAFSzSXPJjZfTToCNA,,,needs_review,,
feng manh lueng,2,UCoyblBFCTcOLTeN6_QeQ2ZQ,,,needs_review,,
Field Gemology by Vincent Pardieu,2,UC_QbZmviQL0k7oVuHecvQow,BH,,needs_review,,
Final Destination,2,UCRi0jEDo_gcwchwNl7MaxoA,IN,,needs_review,,
FINLANDBALL,2,UCszyeh5Qaab2uSpmYlEZYWQ,FI,,needs_review,,
Fishaholicboy,2,UCOo7P9x9ziJ20LH98tSBu4w,HK,,needs_review,,
Five Minute History Channel,2,UCz_4G45wHC_s5MnK5rIUFiw,US,,needs_review,,
FLAGS,2,UCd9MOllJjE4ODRk6CYcOQkA,AU,,needs_review,,
Flash Point News [de],2,UCucklK7Q3HxVkoMTuEkn3NA,DE,,needs_review,yes,
Flick Society,2,UCX7gRNbqM1Rtn3IP1h3Br9A,IN,,needs_review,,
Flightradar24BD,2,UCGH1csQZ0HBUBpmbjb1h5uA,,,needs_review,,
Flying Meatball,2,UChI7F_Y7K7in1OnJsYmX5ew,AU,,needs_review,,
FlyingTwins,2,UCEouTLlhTeZssVNZ2D4RjJQ,DE,,needs_review,,
Foreseek AI,2,UCFVbGgpXOu5za27WpCRO-gw,,,needs_review,,
Forever Young Aviation,2,UC2mzkyVXxVfLxVqVYj0Uvcg,US,,needs_review,,
Forgotten Downfalls,2,UCHrMMBtcJ-uPH0CHCkmtEeQ,US,,needs_review,,
Fractured,2,UC3ZiISI0ZZkpVBksoyWZHSg,GB,,needs_review,,
Franz Herbert,2,UCEVcj98kW4Ex81SwChsS6Yw,,,needs_review,,
Fraud News Channel,2,UCRGYD8x3YBg7DR-beCBdUSg,ZA,,needs_review,yes,
Freddy S.,2,UCmbA1Lehuj69in5funlxBGg,US,,needs_review,,
Free Voice Media,2,UCAyWTLdCdFnEHQFoAmodsJQ,US,,needs_review,yes,
Freedom Dynamics,2,UCq34BukBUkV-CmgQoLf0XGg,US,,needs_review,,
Friendly  Neighborhood WhitePeople,2,UCY_MBGW1KMlN0utxY52eB-A,,,needs_review,,
Friendly Neighborhood History,2,UCCJ8Ja2Zjo1Sg3mak52u46g,US,,needs_review,,
Fromindia2thehague,2,UCEqvXLNOPtOn9igCuYDeHng,,,needs_review,,
Frontiers Unfolded,2,UCTO8Z46IZvSbhYnsDy5YFzg,US,,needs_review,,
Frontline Frequency,2,UCMvx2Z0bF2dmd7KNeGX_sRw,,,needs_review,,
FrontlineReport,2,UCB3M18kGFQrbz7rgXsLbgOg,KR,,needs_review,yes,
fruit artist,2,UCktVQVGs5SM6Qc-iHnicDug,US,,needs_review,,
FrxstyZilla,2,UC2AE6ePNpRkGpb_szg7cQfA,US,,needs_review,,
FunFactTravel,2,UCXBfkWuHGvm5cUTqvEN43_Q,,,needs_review,,
Fuse Daily,2,UCDPw4K9gqiFCdvw6ccYuVLA,,,needs_review,,
Future of Tomorrow,2,UCCQHik5U4Est_XXfsS3-f8Q,,,needs_review,,
Gabe Leigh,2,UCOCP76uwOn6PbT5jQ5U_ECw,,,needs_review,,
Gabriel Latiş,2,UCOZfq_bDwXEHz_Nx0fLcpPQ,FR,,needs_review,,
garbagebear13,2,UCOZlEmFODtnswFikkx41iNw,US,,needs_review,,
Garry Ratcliff,2,UCt7B1IToslKPdL6BVmCYlAg,AU,,needs_review,,
Geetika Agrawal,2,UCxvbylJTuFNIcotxo8P8SOQ,,,needs_review,,
Gegenpol,2,UCs-G8CXCziErSY1459e7U8A,DE,,needs_review,,
Gell_03,2,UC3Uys1AwWumSPA9ocW7FBcA,,,needs_review,,
General Knowledge,2,UCnD4jogYqIgUWY1ZYPU-Dew; UCs4rogk7mkS3eKKlpVhBDkg,PT,,needs_review,,
General Knowledge Connection,2,UClnPKCvh9rAfqERRPz8N7dA,IN,,needs_review,,
GENERAL SETI,2,UCBznTxpw5thhOfbz6TNN_KA,US,,needs_review,,
Genxtravelmom,2,UCW8zvhhwvGnbRxIkwQrNt3g,,,needs_review,,
Geo Blueprint,2,UCsZ1zeVuuDfo4IpGoytY5aw,US,,needs_review,,
Geo Focus,2,UCytskvzFxBPtdWGO-xsC6sg,IN,,needs_review,,
GEO FRONTIER,2,UCSDd2bw2hYNGwhwTuVVQD5A,BD,,needs_review,,
Geo Globe Whiz,2,UCB0AhRRdGmyKa3bceszYxIQ,US,,needs_review,,
Geo Jimmy,2,UCNmHY85Gg-bg715gUgOgmrA,,,needs_review,,
Geo Motion,2,UCakHwee1yuCqwWnnOpoRs0w,US,,needs_review,,
Geo Snap,2,UCTKhxJOM-vMDtJ3aUZB9yzQ; UCqRYwXmifKIor4awQZ-Z6Xw,US,,needs_review,,
Geo Spark,2,UC_TJzMdgDQY8eTNH4HXTI-w,PK,,needs_review,,
Geo World News 24,2,UCALDtOSdILdSckFx3yX3rQw,,,needs_review,yes,
Geo59,2,UCRB1gr6yXZNi7M75GLhrtxA,US,,needs_review,,
GeoAtlas⚡,2,UCv6GOxBZFa6EDaT60xRw4lw,IN,,needs_review,,
GeoAura,2,UCnA_e5SArjIDSnXdXlL0H7w,,,needs_review,,
GeoFlorix 🌍,2,UCMUv7xgPNWws4-DnRJ1iaRA,,,needs_review,,
GEOFLOW,2,UC-ABWWUr0osvHiir0XqiVVA,,,needs_review,,
Geography Guy,2,UCFr9PxajY3ax7CAC32D_RGg,,,needs_review,,
GeographyIsAmazing,2,UCx-4U1uuF6x7XuH6z1AuBFw,,,needs_review,,
GeoHub,2,UCb_LIpChyve4qI-_PMIRtRw,,,needs_review,,
GeoLegend,2,UCY3PCMK4J5aaCv4JTwqDPvQ,NL,,needs_review,,
GeoLenz Media,2,UC2pwpFWKkJoZBEvvlY3L8Ig,,,needs_review,yes,
Geolistics,2,UC3mWY_L0n_VRYVhCSc7wHvA,,,needs_review,,
Geologists of Jackson Hole,2,UCIqF4IlVr75GZMROmG3myEA,US,,needs_review,,
GeoMystery Bites,2,UCsaOUkjcBUbKkAx-mI5tYZg,,,needs_review,,
Geopold,2,UC5wZGwqyPawfmzpve8aJ-hw,,,needs_review,,
Geopolitic Nations,2,UCoyzw2fOeFBmzJkd39hAmWw,US,,needs_review,,
Geopolitics,2,UCQebVG4JIPz4ZRArpMe-q-A,,,needs_review,,
Geopolitics by Luka Juri,2,UCZBa-LKvWpD1WPVedqEB5JA,,,needs_review,,
George,2,UCRh6csXmwnDB3MueBES4rsw,US,,needs_review,,
GeoScope,2,UCrm-TI0u0gbfAs8w9QVsFRw; UCwz7Z8aU1weViax76JnxIjQ,IN,,needs_review,,
GeoSecrets,2,UCkazNI4lNOL0YFEXd_k4i9A,US,,needs_review,,
Geospatial World,2,UC2UaNw8A-fQhIBBnaZPKEmA,IN,,needs_review,yes,
GeoStory4You,2,UCBCatEoF5CAlkDuFcWBokkg,,,needs_review,,
geostrategy,2,UCc7gGxhPbON39t4V5ac6kuQ,US,,needs_review,,
Geovarex,2,UCiW1H5RlCy5M_UdxJO2D30g,EG,,needs_review,,
Gerben & Sylvia On The Go,2,UCP_OXudxPIDJnBrlxpBBjwA,NL,,needs_review,,
Gerth Enoksen,2,UCVnTqvIRZQb7S0lDUwWRVTQ,,,needs_review,,
Gerund Coonprom,2,UC5CPFzIduB2lw9vjMfoT41w,US,,needs_review,,
Get.history,2,UCTRgu3iuyGXbhz5kYNjpObw,DE,,needs_review,,
Getaway Fly Fishing,2,UCyNqVtIQpL40WhKNgyk1lIg,,,needs_review,,
Giant Discovery,2,UC05lSOd2Ul7s6PP5709az4Q,US,,needs_review,,
Gift Lee,2,UCRZa2EbkKaS1_vU-tlwxdWQ,,,needs_review,,
GIGO EDITZ,2,UC5sYja2PRwnqDmG_kvRM_IA,,,needs_review,,
Glacier OX3AH,2,UCwy9eZ9JkfsXnYdDbtJtivw,GL,,needs_review,,
Glenn Beck,2,UCvqtzdcURSqNjY9RQEK4XmQ,US,,needs_review,,
Global Aura,2,UCgtVoI8fEO3YpF2lQCM_L8A,,,needs_review,,
Global Bites: Street Food Adventures,2,UCx_Fxt6AYEmTGW8jVDUAiiA,,,needs_review,,
Global Briefing,2,UCWcAvlCGXL879J5RcRze8zw,VN,,needs_review,,
Global Dive Media,2,UCdz-Ko23_bczAypLfSHx5Kw,AT,,needs_review,yes,
global eye news,2,UCPgO2dPmx3zKpuvK09WxTIg,US,,needs_review,yes,
Global Facts,2,UC7sRlRlPocOQxzsz79CQWmg; UCXF3ghF-Dpm9aRP-AGVvQ8g,US,,needs_review,,
Global Flavors Untold,2,UCu9armhbaIWxNspsAYUzNqA,US,,needs_review,,
Global Info Station,2,UCZuz8kDNAQ3H_4N1O-RM4AQ,PK,,needs_review,,
Global News Insights,2,UC2KrgiBqAJRjaPn5yk-bwSg,US,,needs_review,yes,
Global Polarization,2,UCOBjKEf0slLkQtL24dQUr3A,,,needs_review,,
Global Politics News.(GPN),2,UC3GTZuPo4FSNGntfn2mbvyw,BD,,needs_review,yes,
Global Pulse,2,UCE7z6L8FIgqHmaknTvoi70A,,,needs_review,,
GLOBAL RANKING,2,UCi9x28y3ZW0NdYxhzE41FcA,US,,needs_review,,
